Sample	S.a. query (%)	S.a. temp (%)	Other species	Other query (%)	Other temp (%)
Q0003_BC00406	35.94	83.28	E. faecalis	0	10.45
R0051_BC00101	54.69	95.73	E. faecalis	3.88	56.72
Q0003_MC00210	68.83	95.34	E. faecalis	0.98	44.78
Q0003_MC00215	74.9	95.54	E. faecalis	0.78	44.78
Q0003_BC00304	75.4	95.36	E. faecalis	0.87	43.28
Q0003_BC00108	77.07	95.73	E. faecalis	1.64	55.22
R0047_TC0201	79.14	82.51	E. faecalis	0.32	43.28
Q0003_BC00110	81.37	95.76	E. faecalis	0.9	58.21
Q0003_BC00211	83.83	95.34	E. faecalis	0.34	41.79
Q0003_MC0026	88.9	97.89	E. faecalis	0.2	40.3
Q0003_MC00205	92.89	97.87	E. faecalis	0.13	40.3
