Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
Q0003_BC00102	blaZ	100.00	846/846	100.0	1..846	NODE_7_length_109823_cov_36.637799	71900..72745	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_BC00104	blaZ	100.00	846/846	100.0	1..846	NODE_6_length_230373_cov_10.884041	157700..158545	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_BC00105	blaZ	100.00	846/846	100.0	1..846	NODE_22_length_20530_cov_19.059060	5279..6124	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP000732
Q0003_BC00105	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_24_length_4566_cov_448.628069	2691..4070	Doxycycline, Tetracycline	U38656
Q0003_BC00106	blaZ	100.00	846/846	100.0	1..846	NODE_8_length_99872_cov_14.452795	71845..72690	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_BC00107	blaZ	100.00	846/846	100.0	1..846	NODE_7_length_109823_cov_18.842337	37079..37924	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_BC00108	str	99.65	849/849	100.0	1..849	NODE_25_length_3920_cov_809.363828	1355..2203	Streptomycin	X92946
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_BC00108	blaZ	99.88	846/846	100.0	1..846	NODE_12_length_77363_cov_7.379745	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_BC00110	str	99.65	849/849	100.0	1..849	NODE_27_length_3990_cov_1518.827595	1718..2566	Streptomycin	X92946
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_BC00110	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108346_cov_21.359918	69858..70703	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_BC00111	blaZ	99.89	888/888	100.0	1..888	NODE_4_length_191834_cov_20.271216	61881..62768	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
Q0003_BC00117	blaZ	100.00	846/846	100.0	1..846	NODE_19_length_20530_cov_119.409057	11184..12029	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP000732
Q0003_BC00117	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_21_length_4566_cov_6749.945033	2327..3706	Doxycycline, Tetracycline	U38656
Q0003_BC00118	blaZ	100.00	846/846	100.0	1..846	NODE_32_length_20530_cov_13.891781	1524..2369	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP000732
Q0003_BC00118	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_42_length_4566_cov_377.889615	1186..2565	Doxycycline, Tetracycline	U38656
Q0003_BC00201	str	100.00	849/849	100.0	1..849	NODE_20_length_4524_cov_987.755288	2791..3639	Streptomycin	FN435330
Q0003_BC00201	blaZ	100.00	846/846	100.0	1..846	NODE_5_length_156552_cov_20.008694	83749..84594	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_BC00201	tet(K)	99.89	888/888	99.88738738738738	1..888	NODE_18_length_4902_cov_2227.063665	3823..4709	Doxycycline, Tetracycline	J01764
Q0003_BC00211	str	100.00	849/849	100.0	1..849	NODE_25_length_4524_cov_292.561747	486..1334	Streptomycin	FN435330
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_BC00211	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_138166_cov_7.528923	69938..70783	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_BC00303	erm(C)	100.00	735/735	100.0	1..735	NODE_23_length_2600_cov_1391.220784	396..1130	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
Q0003_BC00303	tet(K)	99.89	888/888	99.88738738738738	1..888	NODE_21_length_4501_cov_1227.056013	3433..4319	Doxycycline, Tetracycline	J01764
Q0003_BC00303	dfrG	100.00	498/498	100.0	1..498	NODE_2_length_489342_cov_15.613272	175268..175765	Trimethoprim	AB205645
Q0003_BC00304	str	100.00	849/849	100.0	1..849	NODE_14_length_4524_cov_684.118035	2223..3071	Streptomycin	FN435330
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_BC00304	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_154716_cov_10.049570	83928..84773	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_BC00310	blaZ	100.00	846/846	100.0	1..846	NODE_20_length_33452_cov_1.434509	4526..5371	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_BC00406	blaZ	99.89	888/888	100.0	1..888	NODE_31_length_8462_cov_6.900780	2304..3191	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
Q0003_BC00406	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_35_length_4587_cov_2998.497534	1616..2995	Doxycycline, Tetracycline	U38656
Q0003_BC00416	blaZ	99.89	888/888	100.0	1..888	NODE_3_length_287841_cov_21.302477	284346..285233	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
Q0003_BC00416	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_22_length_4587_cov_114.164126	1519..2898	Doxycycline, Tetracycline	U38656
Q0003_BH404	tet(K)	100.00	1350/1380	97.82608695652173	31..1380	NODE_36_length_2172_cov_0.703178	823..2172	Doxycycline, Tetracycline	U38656
Q0003_HB00604	blaZ	99.81	519/846	61.347517730496456	328..846	NODE_19_length_20857_cov_87.711288	20339..20857	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AB811795
Q0003_HB00604	blaZ	99.81	519/846	61.347517730496456	328..846	NODE_19_length_20857_cov_87.711288	20339..20857	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FMOK01000003
Q0003_HB00604	blaZ	99.81	519/846	61.347517730496456	328..846	NODE_19_length_20857_cov_87.711288	20339..20857	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
Q0003_HB00604	blaZ	99.81	519/846	61.347517730496456	328..846	NODE_19_length_20857_cov_87.711288	20339..20857	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_CAVU010000015
Q0003_HB00604	blaZ	99.81	519/846	61.347517730496456	328..846	NODE_19_length_20857_cov_87.711288	20339..20857	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AP004832
Q0003_HB00604	erm(C)	100.00	735/735	100.0	1..735	NODE_25_length_2600_cov_7774.672463	1738..2472	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
Q0003_HB00604	dfrG	100.00	498/498	100.0	1..498	NODE_1_length_489413_cov_15.108166	175168..175665	Trimethoprim	AB205645
Q0003_MC00105	blaZ	99.88	846/846	100.0	1..846	NODE_24_length_20857_cov_12.417414	13281..14126	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
Q0003_MC00105	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_33_length_4501_cov_77.803841	93..1472	Doxycycline, Tetracycline	U38656
Q0003_MC00105	dfrG	100.00	498/498	100.0	1..498	NODE_15_length_54087_cov_4.811601	30071..30568	Trimethoprim	AB205645
Q0003_MC00111	erm(C)	100.00	735/735	100.0	1..735	NODE_18_length_2600_cov_5.136272	481..1215	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
