id	isolate	country	continent	region	year	sex	disease	source_category	source	arcC	aroE	glpF	gmk	pta	tpi	yqiL	ST (MLST)
7459	ERR017301	Namibia	Africa		2009		unknown	unknown	unknown	7	6	1	5	8	8	6	22
7529	ERR017291	Namibia	Africa		2009		unknown	unknown	unknown	7	6	1	5	8	8	6	22
7684	ERR017256	Nigeria	Africa		2002		unknown	unknown	unknown	7	6	1	5	8	8	6	22
7735	ERR017257	Sudan	Africa		2007		unknown	unknown	unknown	7	6	1	5	8	8	6	22
21212	ERR227490	Algeria	Africa		2005		unknown	unknown	unknown	3	1	1	1	1	5	3	97
24326	ERR505358	Tanzania	Africa		2013		unknown	unknown	unknown	3	3	1	1	4	4	3	8
24328	ERR505363	Tanzania	Africa		2005		unknown	unknown	unknown	6	5	6	2	7	14	5	121
24332	ERR505370	Tanzania	Africa		2008		unknown	unknown	unknown	3	1	1	1	1	5	3	97
24340	ERR505387	Tanzania	Africa		2008		unknown	unknown	unknown	3	3	1	1	4	4	3	8
24969	ERR505360	Tanzania	Africa		2008		unknown	unknown	unknown	3	3	1	1	4	4	3	8
24971	ERR505373	Tanzania	Africa		2013		unknown	unknown	unknown	6	5	6	2	7	14	5	121
24973	ERR505392	Tanzania	Africa		2013		unknown	unknown	unknown	6	5	6	2	7	14	5	121
25290	ERR505339	Tanzania	Africa		2008		unknown	unknown	unknown	3	3	1	1	4	4	3	8
25291	ERR505344	Tanzania	Africa		2008		unknown	unknown	unknown	3	3	1	1	4	4	3	8
25293	ERR505357	Tanzania	Africa		2013		unknown	unknown	unknown	3	3	1	1	4	4	3	8
30866	ERR490594	Tanzania	Africa		2008		unknown	unknown	unknown	3	3	1	1	4	4	3	8
30867	ERR490597	Tanzania	Africa		2005		unknown	unknown	unknown	6	5	6	2	7	14	5	121
30870	ERR490604	Tanzania	Africa		2008		unknown	unknown	unknown	3	1	1	1	1	5	3	97
30877	ERR490621	Tanzania	Africa		2008		unknown	unknown	unknown	3	3	1	1	4	4	3	8
