Sample	# Sequence ID	Num	Score	Expected	Template_length	Query_Coverage	Template_Coverage	Depth	tot_query_Coverage	tot_template_Coverage	tot_depth	q_value	p_value	Accession Number	Description	TAXID	Taxonomy	TAXID Species	Species
R0051_BC00115	GCF_003186105.1	10079	118917	0	121645	   96.25	   97.95	    0.98	   96.25	   97.95	    0.98	118914.70	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00102	GCF_003030085.1	23581	98965	4	121114	   83.06	   82.39	    0.82	   83.06	   82.39	    0.82	98952.70	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00105	GCF_900474755.1	23310	117824	0	122530	   97.08	   96.71	    0.96	   97.08	   96.71	    0.96	117821.76	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00216	GCF_003186105.1	10079	117801	0	121645	   98.24	   97.87	    0.97	   98.24	   97.87	    0.97	117799.81	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00512	GCF_003030085.1	23581	98917	3	121114	   84.40	   82.38	    0.82	   84.40	   82.38	    0.82	98905.99	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00201	GCF_003186105.1	10079	117978	0	121645	   95.69	   97.86	    0.97	   95.69	   97.86	    0.97	117975.61	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00102	GCF_003186105.1	10079	116933	0	121645	   99.26	   97.06	    0.96	   99.26	   97.06	    0.96	116932.55	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST045	GCF_001018845.2	13502	122449	8	124602	   76.01	   98.85	    0.98	   76.01	   98.85	    0.98	122423.51	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST001	GCF_900004855.1	8116	111734	0	120348	   97.83	   93.70	    0.93	   97.83	   93.70	    0.93	111732.49	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BH404	GCF_002202075.1	7400	119890	0	120924	   99.06	   99.96	    0.99	   99.06	   99.96	    0.99	119889.22	1.0e-26	NZ_CP021905.1	Staphylococcus aureus strain Seattle 1945 isolate G477 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST084	GCF_900474755.1	23310	117857	0	122530	   98.98	   97.00	    0.96	   98.98	   97.00	    0.96	117856.27	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00205	GCF_003186105.1	10079	117736	0	121645	   96.15	   97.74	    0.97	   96.15	   97.74	    0.97	117733.77	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00516	GCF_900004855.1	8116	117616	0	120348	   98.03	   98.78	    0.98	   98.03	   98.78	    0.98	117614.48	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00101	GCF_003186105.1	10079	118172	0	121645	   95.45	   98.03	    0.97	   95.45	   98.03	    0.97	118169.49	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_MH0081	GCF_008370815.1	13798	120296	1	126728	   94.83	   94.85	    0.95	   94.83	   94.85	    0.95	120291.71	1.0e-26	NZ_CP043302.1	Staphylococcus aureus strain 16445 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST088	GCF_900474755.1	23310	117907	0	122530	   98.99	   97.02	    0.96	   98.99	   97.02	    0.96	117906.28	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00210	GCF_003186105.1	10079	117857	0	121645	   97.10	   97.86	    0.97	   97.10	   97.86	    0.97	117855.27	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00211	GCF_003186105.1	10079	117120	0	121645	   95.71	   97.36	    0.96	   95.71	   97.36	    0.96	117117.66	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BH00403	GCF_003186105.1	10079	117996	0	121645	   95.60	   97.86	    0.97	   95.60	   97.86	    0.97	117993.56	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00310	GCF_003030085.1	23581	98599	3	121114	   84.58	   82.26	    0.81	   84.58	   82.26	    0.81	98588.15	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00104	GCF_003030085.1	23581	98894	3	121114	   84.43	   82.37	    0.82	   84.43	   82.37	    0.82	98883.02	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00105	GCF_002803885.1	20199	117264	0	119895	   98.97	   98.75	    0.98	   98.97	   98.75	    0.98	117263.25	1.0e-26	NZ_CP024998.1	Staphylococcus aureus strain 55-99-44 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00410-2	GCF_003425835.1	14870	99384	3	122411	   84.72	   81.94	    0.81	   84.72	   81.94	    0.81	99373.82	1.0e-26	NZ_CP031664.1	Staphylococcus aureus strain 28 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC0026	GCF_003186105.1	10079	117971	0	121645	   95.70	   97.85	    0.97	   95.70	   97.85	    0.97	117968.63	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00108	GCF_003186105.1	10079	118132	0	121645	   95.54	   98.02	    0.97	   95.54	   98.02	    0.97	118129.52	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
