Sample	# Sequence ID	Num	Score	Expected	Template_length	Query_Coverage	Template_Coverage	Depth	tot_query_Coverage	tot_template_Coverage	tot_depth	q_value	p_value	Accession Number	Description	TAXID	Taxonomy	TAXID Species	Species
R0051_BC00115	GCF_900474755.1	23310	2495925	140	122530	   74.22	   95.63	   20.37	   74.22	   95.63	   20.37	2495504.28	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00102	GCF_003030085.1	23581	34688558	1929	121114	   70.56	   83.07	  286.41	   70.56	   83.07	  286.41	34682770.87	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00105	GCF_900474755.1	23310	7349991	156	122530	   90.34	   96.98	   59.99	   90.34	   96.98	   59.99	7349521.19	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00216	GCF_900474755.1	23310	13767341	460	122530	   79.80	   95.26	  112.36	   79.80	   95.26	  112.36	13765961.02	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00512	GCF_003030085.1	23581	17470327	728	121114	   79.46	   82.66	  144.25	   79.46	   82.66	  144.25	17468141.10	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00201	GCF_003186105.1	10079	15146767	166	121645	   92.50	   97.89	  124.52	   92.50	   97.89	  124.52	15146266.31	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00102	GCF_003186105.1	10079	9128651	20	121645	   97.99	   97.09	   75.04	   97.99	   97.09	   75.04	9128590.35	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST045	GCF_001018845.2	13502	4150183	112	124602	   87.09	   98.89	   33.31	   87.09	   98.89	   33.31	4149844.85	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST001	GCF_900004855.1	8116	1582898	25	120348	   92.44	   95.57	   13.15	   92.44	   95.57	   13.15	1582821.19	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BH404	GCF_002202075.1	7400	5095740	26	120924	   96.91	  100.00	   42.14	   96.91	  100.00	   42.14	5095661.29	1.0e-26	NZ_CP021905.1	Staphylococcus aureus strain Seattle 1945 isolate G477 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST084	GCF_900474755.1	23310	2926255	18	122530	   94.83	   97.04	   23.88	   94.83	   97.04	   23.88	2926200.84	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00205	GCF_003186105.1	10079	7716213	79	121645	   92.89	   97.87	   63.43	   92.89	   97.87	   63.43	7715975.83	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00516	GCF_900004855.1	8116	13316338	548	120348	   83.76	   98.80	  110.65	   83.76	   98.80	  110.65	13314691.58	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00101	GCF_900474755.1	23310	2965525	372	122530	   54.69	   95.73	   24.20	   54.69	   95.73	   24.20	2964408.48	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_MH0081	GCF_008370815.1	13798	2374945	82	126728	   82.18	   94.90	   18.74	   82.18	   94.90	   18.74	2374696.18	1.0e-26	NZ_CP043302.1	Staphylococcus aureus strain 16445 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST088	GCF_900474755.1	23310	4338213	24	122530	   96.47	   97.03	   35.41	   96.47	   97.03	   35.41	4338138.46	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00210	GCF_900635285.1	1127	11444915	640	122530	   68.83	   95.34	   93.41	   68.83	   95.34	   93.41	11442993.81	1.0e-26	NZ_LR134087.1	Staphylococcus aureus strain NCTC7121 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00211	GCF_900635285.1	1127	7138455	168	122530	   83.83	   95.34	   58.26	   83.83	   95.34	   58.26	7137948.42	1.0e-26	NZ_LR134087.1	Staphylococcus aureus strain NCTC7121 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BH00403	GCF_003186105.1	10079	9291819	133	121645	   90.57	   97.89	   76.38	   90.57	   97.89	   76.38	9291417.17	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00310	GCF_003030085.1	23581	1124930	39	121114	   84.27	   82.37	    9.29	   84.27	   82.37	    9.29	1124810.63	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00104	GCF_003030085.1	23581	7902063	491	121114	   67.19	   82.55	   65.24	   67.19	   82.55	   65.24	7900589.27	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00105	GCF_002803885.1	20199	3674946	31	119895	   94.91	   98.76	   30.65	   94.91	   98.76	   30.65	3674851.82	1.0e-26	NZ_CP024998.1	Staphylococcus aureus strain 55-99-44 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00410-2	GCF_900474755.1	23310	6892033	458	122530	   70.07	   82.06	   56.25	   70.07	   82.06	   56.25	6890657.86	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC0026	GCF_003186105.1	10079	10362018	165	121645	   88.90	   97.89	   85.18	   88.90	   97.89	   85.18	10361522.07	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00108	GCF_900474755.1	23310	7156687	323	122530	   77.07	   95.73	   58.41	   77.07	   95.73	   58.41	7155715.47	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_TC00505	GCF_003354945.1	9431	6656761	564	126513	   68.15	   72.21	   52.62	   68.15	   72.21	   52.62	6655067.29	1.0e-26	NZ_CP022908.1	Staphylococcus aureus strain 545 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00110	GCF_900635285.1	1127	24208372	802	122530	   81.37	   95.76	  197.57	   81.37	   95.76	  197.57	24205963.90	1.0e-26	NZ_LR134087.1	Staphylococcus aureus strain NCTC7121 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_TH0405	GCF_900004855.1	8116	2275163	42	120348	   89.29	   98.83	   18.90	   89.29	   98.83	   18.90	2275036.45	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00211	GCF_900635285.1	1127	12027280	406	122530	   79.50	   95.27	   98.16	   79.50	   95.27	   98.16	12026060.93	1.0e-26	NZ_LR134087.1	Staphylococcus aureus strain NCTC7121 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00523	GCF_900004855.1	8116	22865655	1637	120348	   75.28	   98.81	  190.00	   75.28	   98.81	  190.00	22860742.26	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST013-B	GCF_001018845.2	13502	2961496	22	124602	   95.98	   97.95	   23.77	   95.98	   97.95	   23.77	2961429.35	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00303	GCF_900004855.1	8116	12968322	471	120348	   80.68	   98.79	  107.76	   80.68	   98.79	  107.76	12966908.32	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00416	GCF_003186105.1	10079	18230699	253	121645	   90.38	   96.89	  149.87	   90.38	   96.89	  149.87	18229937.86	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00201	GCF_003030085.1	23581	16546672	1159	121114	   69.81	   82.74	  136.62	   69.81	   82.74	  136.62	16543192.53	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00107	GCF_003030085.1	23581	16855848	754	121114	   76.81	   82.78	  139.17	   76.81	   82.78	  139.17	16853583.66	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_HK2002	GCF_900635245.1	23054	3563162	127	123335	   82.90	   97.13	   28.89	   82.90	   97.13	   28.89	3562778.35	1.0e-26	NZ_LR134086.1	Staphylococcus aureus strain NCTC13142 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00111	GCF_003186105.1	10079	18469338	37	121645	   98.09	   97.10	  151.83	   98.09	   97.10	  151.83	18469225.08	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST067	GCF_019915585.1	19047	1271762	6	124711	   97.08	   91.39	   10.20	   97.08	   91.39	   10.20	1271742.79	1.0e-26	NZ_CP082789.1	Staphylococcus aureus strain HL24830 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_TC00402	GCF_001018845.2	13502	9939093	101	124602	   94.15	   98.89	   79.77	   94.15	   98.89	   79.77	9938788.83	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_HB00604	GCF_002803885.1	20199	12369492	1154	119895	   70.09	   98.78	  103.17	   70.09	   98.78	  103.17	12366027.49	1.0e-26	NZ_CP024998.1	Staphylococcus aureus strain 55-99-44 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00203	GCF_003186105.1	10079	6381079	83	121645	   92.65	   97.91	   52.46	   92.65	   97.91	   52.46	6380829.63	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST015	GCF_900004855.1	8116	1690171	13	120348	   95.68	   97.02	   14.04	   95.68	   97.02	   14.04	1690130.02	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00304	GCF_900474755.1	23310	8440033	345	122530	   75.40	   95.36	   68.88	   75.40	   95.36	   68.88	8438996.42	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
