Sample	# Sequence ID	Num	Score	Expected	Template_length	Query_Coverage	Template_Coverage	Depth	tot_query_Coverage	tot_template_Coverage	tot_depth	q_value	p_value	Accession Number	Description	TAXID	Taxonomy	TAXID Species	Species
R0051_BC00115	GCF_013307005.1	3154	518	5	1979	    0.02	    1.17	    0.26	    2.37	   14.98	   40.19	  501.44	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00115	GCF_003186125.1	14482	35879	709	122698	    1.07	    1.41	    0.29	   67.93	   91.59	   18.62	33805.89	1.0e-26	NZ_CP029627.1	Staphylococcus aureus strain MOK042 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00115	GCF_009912295.1	24689	100652	675	119262	    2.99	    1.09	    0.84	   66.47	   86.36	   18.74	98643.32	1.0e-26	NZ_CP047780.1	Staphylococcus aureus strain UP_1539 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00115	GCF_900474755.1	23310	2495925	140	122530	   74.22	   95.63	   20.37	   74.22	   95.63	   20.37	2495504.28	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00102	GCF_900636695.1	12639	373149	9790	123209	    0.76	    1.23	    3.03	   70.26	   82.91	  280.34	344778.25	1.0e-26	NZ_LR134305.1	Staphylococcus aureus strain NCTC1803 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00102	GCF_016917315.1	16734	556917	9829	122575	    1.13	    1.79	    4.54	   63.35	   73.06	  254.09	528109.89	1.0e-26	NZ_CP070305.1	Staphylococcus sp. SM3655 chromosome, complete genome	2807625	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; unclassified Staphylococcus; Staphylococcus sp. SM3655	2807625	Staphylococcus sp. SM3655
Q0003_BC00102	GCF_018093065.1	17498	1125183	9571	120090	    2.29	    3.26	    9.37	   69.28	   81.96	  283.61	1096792.66	1.0e-26	NZ_CP070991.1	Staphylococcus aureus strain CBS2016-05 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00102	GCF_900324365.1	7889	2653116	9423	123849	    5.40	    5.69	   21.42	   62.64	   70.59	  248.63	2624977.65	1.0e-26	NZ_LT992474.1	Staphylococcus aureus isolate 19_LA_388 genome assembly, chromosome: I	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00102	GCF_003030085.1	23581	34688558	1929	121114	   70.56	   83.07	  286.41	   70.56	   83.07	  286.41	34682770.87	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00105	GCF_001444345.1	10818	8302	1846	121977	    0.10	    1.06	    0.07	   70.11	   83.45	   46.76	 4105.59	1.0e-26	NZ_CP013137.1	Staphylococcus aureus strain XQ, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00105	GCF_000189455.2	16832	18546	1830	121211	    0.23	    3.91	    0.15	   69.16	   83.17	   46.42	13712.62	1.0e-26	NZ_CP025395.1	Staphylococcus aureus O46 chromosome, complete genome	948563	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus; Staphylococcus aureus O46	1280	Staphylococcus aureus
Q0003_BC00105	GCF_001656045.1	14742	30190	1824	121054	    0.37	    1.19	    0.25	   79.28	   88.11	   53.28	25132.94	1.0e-26	NZ_CP015645.1	Staphylococcus aureus strain 08-02119, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
