"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Q0003_BC00102","Q0003_BC00104","Q0003_BC00105","Q0003_BC00106","Q0003_BC00107","Q0003_BC00108","Q0003_BC00110","Q0003_BC00111","Q0003_BC00117","Q0003_BC00118","Q0003_BC00201","Q0003_BC00211","Q0003_BC00303","Q0003_BC00304","Q0003_BC00310","Q0003_BC00406","Q0003_BC00410-2","Q0003_BC00416","Q0003_BH404","Q0003_HB00604","Q0003_MC00105","Q0003_MC00111","Q0003_MC00114-1","Q0003_MC00115-2","Q0003_MC00201","Q0003_MC00203","Q0003_MC00205","Q0003_MC00210","Q0003_MC00211","Q0003_MC00214","Q0003_MC00215","Q0003_MC00216","Q0003_MC0026","Q0003_TC00102","Q0003_TC00512","Q0003_TC00516","Q0003_TC00522","Q0003_TC00523","R0047_DABST013","R0047_DADST035","R0047_MH0081","R0047_TC0201","R0047_TH0405","R0051_BC00101","R0051_BC00115","R0051_BC00306","R0051_BH00403","R0051_DADST084","R0051_DADST088","R0051_HK2002","R0051_TC00219","R0051_TC00402","R0051_TC00505"
"group_1003","","hypothetical protein","53","53","1","1","433","","","","122","506","440","Q0003_BC00102_00999","Q0003_BC00104_00294","Q0003_BC00105_01287","Q0003_BC00106_00716","Q0003_BC00107_00714","Q0003_BC00108_01707","Q0003_BC00110_01631","Q0003_BC00111_02157","Q0003_BC00117_01150","Q0003_BC00118_01334","Q0003_BC00201_01202","Q0003_BC00211_01518","Q0003_BC00303_01369","Q0003_BC00304_02000","Q0003_BC00310_00318","Q0003_BC00406_01332","Q0003_BC00410-2_01935","Q0003_BC00416_01813","Q0003_BH404_01019","Q0003_HB00604_01305","Q0003_MC00105_00401","Q0003_MC00111_00798","Q0003_MC00114-1_00323","Q0003_MC00115-2_00797","Q0003_MC00201_01905","Q0003_MC00203_01408","Q0003_MC00205_01892","Q0003_MC00210_02016","Q0003_MC00211_01499","Q0003_MC00214_01893","Q0003_MC00215_01944","Q0003_MC00216_01899","Q0003_MC0026_01807","Q0003_TC00102_00570","Q0003_TC00512_00999","Q0003_TC00516_01306","Q0003_TC00522_01106","Q0003_TC00523_01442","R0047_DABST013_00943","R0047_DADST035_01294","R0047_MH0081_00794","R0047_TC0201_00255","R0047_TH0405_00800","R0051_BC00101_02044","R0051_BC00115_01104","R0051_BC00306_00479","R0051_BH00403_01750","R0051_DADST084_02068","R0051_DADST088_01549","R0051_HK2002_00347","R0051_TC00219_00535","R0051_TC00402_01357","R0051_TC00505_01425"
"kipI_2","","Kinase A inhibitor","53","53","1","1","1245","","","","734","734","734","Q0003_BC00102_01027","Q0003_BC00104_00837","Q0003_BC00105_00485","Q0003_BC00106_01029","Q0003_BC00107_01027","Q0003_BC00108_01564","Q0003_BC00110_01477","Q0003_BC00111_01778","Q0003_BC00117_01416","Q0003_BC00118_00313","Q0003_BC00201_00974","Q0003_BC00211_01376","Q0003_BC00303_00935","Q0003_BC00304_01662","Q0003_BC00310_00355","Q0003_BC00406_01122","Q0003_BC00410-2_00185","Q0003_BC00416_01098","Q0003_BH404_00192","Q0003_HB00604_00305","Q0003_MC00105_00142","Q0003_MC00111_01461","Q0003_MC00114-1_02392","Q0003_MC00115-2_01461","Q0003_MC00201_01767","Q0003_MC00203_01266","Q0003_MC00205_01751","Q0003_MC00210_01418","Q0003_MC00211_01840","Q0003_MC00214_01735","Q0003_MC00215_01721","Q0003_MC00216_01761","Q0003_MC0026_01438","Q0003_TC00102_01194","Q0003_TC00512_01270","Q0003_TC00516_00142","Q0003_TC00522_01475","Q0003_TC00523_00305","R0047_DABST013_02586","R0047_DADST035_00141","R0047_MH0081_01976","R0047_TC0201_01050","R0047_TH0405_02437","R0051_BC00101_01427","R0051_BC00115_00686","R0051_BC00306_01962","R0051_BH00403_01613","R0051_DADST084_00216","R0051_DADST088_00536","R0051_HK2002_00407","R0051_TC00219_01050","R0051_TC00402_01088","R0051_TC00505_01045"
"accB_2","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","53","53","1","1","1247","","","","449","449","449","Q0003_BC00102_01029","Q0003_BC00104_00835","Q0003_BC00105_00487","Q0003_BC00106_01031","Q0003_BC00107_01029","Q0003_BC00108_01562","Q0003_BC00110_01479","Q0003_BC00111_01780","Q0003_BC00117_01414","Q0003_BC00118_00315","Q0003_BC00201_00972","Q0003_BC00211_01374","Q0003_BC00303_00933","Q0003_BC00304_01660","Q0003_BC00310_00353","Q0003_BC00406_01120","Q0003_BC00410-2_00187","Q0003_BC00416_01096","Q0003_BH404_00194","Q0003_HB00604_00303","Q0003_MC00105_00144","Q0003_MC00111_01463","Q0003_MC00114-1_02394","Q0003_MC00115-2_01463","Q0003_MC00201_01769","Q0003_MC00203_01264","Q0003_MC00205_01749","Q0003_MC00210_01420","Q0003_MC00211_01842","Q0003_MC00214_01733","Q0003_MC00215_01723","Q0003_MC00216_01763","Q0003_MC0026_01436","Q0003_TC00102_01196","Q0003_TC00512_01268","Q0003_TC00516_00144","Q0003_TC00522_01473","Q0003_TC00523_00303","R0047_DABST013_02588","R0047_DADST035_00143","R0047_MH0081_01974","R0047_TC0201_01048","R0047_TH0405_02593","R0051_BC00101_01429","R0051_BC00115_00684","R0051_BC00306_01964","R0051_BH00403_01615","R0051_DADST084_00214","R0051_DADST088_00534","R0051_HK2002_00409","R0051_TC00219_01048","R0051_TC00402_01086","R0051_TC00505_01043"
"accC","","Biotin carboxylase","53","53","1","1","1249","","","","995","1361","1354","Q0003_BC00102_01030","Q0003_BC00104_00834","Q0003_BC00105_00488","Q0003_BC00106_01032","Q0003_BC00107_01030","Q0003_BC00108_01561","Q0003_BC00110_01480","Q0003_BC00111_01781","Q0003_BC00117_01413","Q0003_BC00118_00316","Q0003_BC00201_00971","Q0003_BC00211_01373","Q0003_BC00303_00932","Q0003_BC00304_01659","Q0003_BC00310_00352","Q0003_BC00406_01119","Q0003_BC00410-2_00188","Q0003_BC00416_01095","Q0003_BH404_00195","Q0003_HB00604_00302","Q0003_MC00105_00145","Q0003_MC00111_01464","Q0003_MC00114-1_02395","Q0003_MC00115-2_01464","Q0003_MC00201_01770","Q0003_MC00203_01263","Q0003_MC00205_01748","Q0003_MC00210_01421","Q0003_MC00211_01843","Q0003_MC00214_01732","Q0003_MC00215_01724","Q0003_MC00216_01764","Q0003_MC0026_01435","Q0003_TC00102_01197","Q0003_TC00512_01267","Q0003_TC00516_00145","Q0003_TC00522_01472","Q0003_TC00523_00302","R0047_DABST013_02589","R0047_DADST035_00144","R0047_MH0081_01973","R0047_TC0201_01047","R0047_TH0405_02594","R0051_BC00101_01430","R0051_BC00115_00683","R0051_BC00306_01965","R0051_BH00403_01616","R0051_DADST084_00213","R0051_DADST088_00533","R0051_HK2002_00410","R0051_TC00219_01047","R0051_TC00402_01085","R0051_TC00505_01042"
"yhbY","","RNA-binding protein YhbY","53","53","1","1","1263","","","","290","290","290","Q0003_BC00102_01040","Q0003_BC00104_00824","Q0003_BC00105_00498","Q0003_BC00106_01042","Q0003_BC00107_01040","Q0003_BC00108_01551","Q0003_BC00110_01490","Q0003_BC00111_01791","Q0003_BC00117_01403","Q0003_BC00118_00326","Q0003_BC00201_00961","Q0003_BC00211_01363","Q0003_BC00303_00921","Q0003_BC00304_01649","Q0003_BC00310_00342","Q0003_BC00406_01109","Q0003_BC00410-2_00199","Q0003_BC00416_01085","Q0003_BH404_00206","Q0003_HB00604_00291","Q0003_MC00105_00156","Q0003_MC00111_01474","Q0003_MC00114-1_00008","Q0003_MC00115-2_01474","Q0003_MC00201_01780","Q0003_MC00203_01253","Q0003_MC00205_01738","Q0003_MC00210_01431","Q0003_MC00211_01853","Q0003_MC00214_01722","Q0003_MC00215_01734","Q0003_MC00216_01774","Q0003_MC0026_01425","Q0003_TC00102_01207","Q0003_TC00512_01257","Q0003_TC00516_00156","Q0003_TC00522_01461","Q0003_TC00523_00291","R0047_DABST013_02248","R0047_DADST035_00154","R0047_MH0081_01963","R0047_TC0201_01037","R0047_TH0405_02522","R0051_BC00101_01440","R0051_BC00115_00673","R0051_BC00306_01976","R0051_BH00403_01626","R0051_DADST084_00203","R0051_DADST088_00523","R0051_HK2002_00420","R0051_TC00219_01037","R0051_TC00402_01074","R0051_TC00505_01032"
"nadD","","putative nicotinate-nucleotide adenylyltransferase","53","53","1","1","1264","","","","569","569","569","Q0003_BC00102_01041","Q0003_BC00104_00823","Q0003_BC00105_00499","Q0003_BC00106_01043","Q0003_BC00107_01041","Q0003_BC00108_01550","Q0003_BC00110_01491","Q0003_BC00111_01792","Q0003_BC00117_01402","Q0003_BC00118_00327","Q0003_BC00201_00960","Q0003_BC00211_01362","Q0003_BC00303_00920","Q0003_BC00304_01648","Q0003_BC00310_00341","Q0003_BC00406_01108","Q0003_BC00410-2_00200","Q0003_BC00416_01084","Q0003_BH404_00207","Q0003_HB00604_00290","Q0003_MC00105_00157","Q0003_MC00111_01475","Q0003_MC00114-1_00009","Q0003_MC00115-2_01475","Q0003_MC00201_01781","Q0003_MC00203_01252","Q0003_MC00205_01737","Q0003_MC00210_01432","Q0003_MC00211_01854","Q0003_MC00214_01721","Q0003_MC00215_01735","Q0003_MC00216_01775","Q0003_MC0026_01424","Q0003_TC00102_01208","Q0003_TC00512_01256","Q0003_TC00516_00157","Q0003_TC00522_01460","Q0003_TC00523_00290","R0047_DABST013_02247","R0047_DADST035_00155","R0047_MH0081_01962","R0047_TC0201_01036","R0047_TH0405_02521","R0051_BC00101_01441","R0051_BC00115_00672","R0051_BC00306_01977","R0051_BH00403_01627","R0051_DADST084_00202","R0051_DADST088_00522","R0051_HK2002_00421","R0051_TC00219_01036","R0051_TC00402_01073","R0051_TC00505_01031"
"hemN","","Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR","53","53","1","1","1276","","","","965","1157","1149","Q0003_BC00102_01053","Q0003_BC00104_00811","Q0003_BC00105_00509","Q0003_BC00106_01055","Q0003_BC00107_01053","Q0003_BC00108_01540","Q0003_BC00110_01501","Q0003_BC00111_01802","Q0003_BC00117_01392","Q0003_BC00118_00337","Q0003_BC00201_00948","Q0003_BC00211_01352","Q0003_BC00303_00909","Q0003_BC00304_01638","Q0003_BC00310_01070","Q0003_BC00406_01098","Q0003_BC00410-2_00211","Q0003_BC00416_01074","Q0003_BH404_00217","Q0003_HB00604_00279","Q0003_MC00105_00168","Q0003_MC00111_01485","Q0003_MC00114-1_00019","Q0003_MC00115-2_01485","Q0003_MC00201_01791","Q0003_MC00203_01242","Q0003_MC00205_01727","Q0003_MC00210_01442","Q0003_MC00211_01864","Q0003_MC00214_01711","Q0003_MC00215_01745","Q0003_MC00216_01785","Q0003_MC0026_01414","Q0003_TC00102_01218","Q0003_TC00512_01244","Q0003_TC00516_00168","Q0003_TC00522_00279","Q0003_TC00523_00279","R0047_DABST013_02237","R0047_DADST035_00165","R0047_MH0081_01952","R0047_TC0201_01273","R0047_TH0405_01425","R0051_BC00101_01451","R0051_BC00115_00662","R0051_BC00306_01988","R0051_BH00403_01637","R0051_DADST084_00192","R0051_DADST088_00512","R0051_HK2002_00431","R0051_TC00219_01024","R0051_TC00402_01063","R0051_TC00505_01021"
"group_1015","","GTP cyclohydrolase 1 type 2","53","53","1","1","1300","","","","1100","1100","1100","Q0003_BC00102_01077","Q0003_BC00104_00787","Q0003_BC00105_00533","Q0003_BC00106_01079","Q0003_BC00107_01077","Q0003_BC00108_01516","Q0003_BC00110_01525","Q0003_BC00111_01826","Q0003_BC00117_01368","Q0003_BC00118_00361","Q0003_BC00201_00924","Q0003_BC00211_01328","Q0003_BC00303_00885","Q0003_BC00304_01614","Q0003_BC00310_01046","Q0003_BC00406_01074","Q0003_BC00410-2_00235","Q0003_BC00416_01050","Q0003_BH404_00241","Q0003_HB00604_00255","Q0003_MC00105_00192","Q0003_MC00111_01509","Q0003_MC00114-1_00043","Q0003_MC00115-2_01509","Q0003_MC00201_01815","Q0003_MC00203_01218","Q0003_MC00205_01703","Q0003_MC00210_01466","Q0003_MC00211_01888","Q0003_MC00214_01687","Q0003_MC00215_01769","Q0003_MC00216_01809","Q0003_MC0026_01390","Q0003_TC00102_01242","Q0003_TC00512_01220","Q0003_TC00516_00192","Q0003_TC00522_00255","Q0003_TC00523_00255","R0047_DABST013_01748","R0047_DADST035_00189","R0047_MH0081_01529","R0047_TC0201_01249","R0047_TH0405_01449","R0051_BC00101_01475","R0051_BC00115_00638","R0051_BC00306_02012","R0051_BH00403_01661","R0051_DADST084_00168","R0051_DADST088_00488","R0051_HK2002_00455","R0051_TC00219_01000","R0051_TC00402_01039","R0051_TC00505_00997"
"pdhC_2","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","53","53","1","1","1343","","","","1274","1274","1274","Q0003_BC00102_01119","Q0003_BC00104_00745","Q0003_BC00105_00575","Q0003_BC00106_01121","Q0003_BC00107_01119","Q0003_BC00108_00965","Q0003_BC00110_01186","Q0003_BC00111_01165","Q0003_BC00117_01326","Q0003_BC00118_00403","Q0003_BC00201_00882","Q0003_BC00211_02142","Q0003_BC00303_00843","Q0003_BC00304_01091","Q0003_BC00310_01004","Q0003_BC00406_00755","Q0003_BC00410-2_00278","Q0003_BC00416_02508","Q0003_BH404_00283","Q0003_HB00604_00213","Q0003_MC00105_00234","Q0003_MC00111_01551","Q0003_MC00114-1_00085","Q0003_MC00115-2_01551","Q0003_MC00201_01562","Q0003_MC00203_01995","Q0003_MC00205_01180","Q0003_MC00210_00964","Q0003_MC00211_01693","Q0003_MC00214_00530","Q0003_MC00215_02142","Q0003_MC00216_01185","Q0003_MC0026_01993","Q0003_TC00102_00668","Q0003_TC00512_01178","Q0003_TC00516_00234","Q0003_TC00522_00213","Q0003_TC00523_00213","R0047_DABST013_01706","R0047_DADST035_00231","R0047_MH0081_01487","R0047_TC0201_01207","R0047_TH0405_02188","R0051_BC00101_02471","R0051_BC00115_02120","R0051_BC00306_01710","R0051_BH00403_02059","R0051_DADST084_00126","R0051_DADST088_00446","R0051_HK2002_00497","R0051_TC00219_00958","R0051_TC00402_00997","R0051_TC00505_00955"
"ribU","","Riboflavin transporter RibU","53","53","1","1","1406","","","","545","545","545","Q0003_BC00102_01148","Q0003_BC00104_00716","Q0003_BC00105_00609","Q0003_BC00106_01150","Q0003_BC00107_01148","Q0003_BC00108_00999","Q0003_BC00110_01152","Q0003_BC00111_01131","Q0003_BC00117_02512","Q0003_BC00118_00437","Q0003_BC00201_00853","Q0003_BC00211_02107","Q0003_BC00303_00744","Q0003_BC00304_01056","Q0003_BC00310_02394","Q0003_BC00406_00724","Q0003_BC00410-2_00304","Q0003_BC00416_01971","Q0003_BH404_01790","Q0003_HB00604_00114","Q0003_MC00105_01493","Q0003_MC00111_01581","Q0003_MC00114-1_00115","Q0003_MC00115-2_01581","Q0003_MC00201_01527","Q0003_MC00203_01960","Q0003_MC00205_01145","Q0003_MC00210_00929","Q0003_MC00211_01658","Q0003_MC00214_00495","Q0003_MC00215_02177","Q0003_MC00216_01150","Q0003_MC0026_01958","Q0003_TC00102_00702","Q0003_TC00512_01149","Q0003_TC00516_00333","Q0003_TC00522_00114","Q0003_TC00523_00114","R0047_DABST013_02533","R0047_DADST035_00258","R0047_MH0081_01340","R0047_TC0201_01475","R0047_TH0405_02091","R0051_BC00101_02453","R0051_BC00115_01854","R0051_BC00306_00328","R0051_BH00403_02094","R0051_DADST084_00092","R0051_DADST088_00412","R0051_HK2002_01847","R0051_TC00219_00929","R0051_TC00402_02358","R0051_TC00505_00861"
